policy,condition,seed,cell,episode,success,failure_mode,frames,duration_s,n_releases,n_kept,nearest_release_deg,max_travel_deg
clean,clean,1000,different_object,1,1,success,604,20.1,2,1,4.001983931385158,45.2179591630628
clean,clean,1000,different_object,2,1,success,1112,37.033,1,1,5.912503641824291,43.29463400180276
clean,clean,1000,different_object,3,1,success,701,23.333,1,1,3.231169245103292,45.75660223329541
clean,clean,1000,different_object,4,1,success,648,21.567,2,1,1.53241890870898,47.43247173661088
clean,clean,1000,different_object,5,1,success,667,22.2,1,1,1.6901640432845646,46.62115470114454
clean,clean,1000,different_object,6,1,success,563,18.733,1,1,3.194822606647218,45.838459060420604
clean,clean,1000,different_object,7,1,success,759,25.267,1,1,2.7537582295519023,46.983056135866335
clean,clean,1000,different_object,8,1,success,601,20.0,1,1,2.3421890862420263,46.65150568206734
clean,clean,1000,different_object,9,1,success,435,14.467,1,1,3.033357776269451,45.80284514414346
clean,clean,1000,different_object,10,1,success,1151,38.333,1,1,4.208000079432448,45.41496735128567
clean,clean,1000,different_object,11,1,success,501,16.667,1,1,2.34121936009905,46.75646768190146
clean,clean,1000,different_object,12,1,success,684,22.767,1,1,3.7629174900916986,45.34029481989512
clean,clean,1000,different_object,13,1,success,451,15.0,1,1,3.2937310548499816,45.584967942750325
clean,clean,1000,different_object,14,1,success,471,15.667,1,1,1.7062730760776397,47.55191630691992
clean,clean,1000,different_object,15,1,success,754,25.1,1,1,5.259024009652361,44.90300622350951
clean,clean,1000,distractors,1,1,success,451,15.0,1,1,3.1849281434458057,45.8764194968609
clean,clean,1000,distractors,2,1,success,441,14.667,1,1,2.033416341659663,46.897792602906755
clean,clean,1000,distractors,3,1,success,603,20.067,1,1,1.1113026667862265,47.66124569277858
clean,clean,1000,distractors,4,1,success,451,15.0,1,1,3.5097900197250347,45.98258641761148
clean,clean,1000,distractors,5,1,success,478,15.9,1,1,1.8956681904018886,47.34196697858375
clean,clean,1000,distractors,6,1,success,857,28.533,1,1,2.6122143964882163,46.514600613612984
clean,clean,1000,distractors,7,1,success,651,21.667,1,1,1.7849891483815448,46.90653642090865
clean,clean,1000,distractors,8,0,cube_out_of_bounds,408,13.567,0,0,,
clean,clean,1000,distractors,9,1,success,548,18.233,1,1,2.0697159411610393,47.16500462182397
clean,clean,1000,distractors,10,0,contact_no_grasp,1149,38.267,6,0,46.85829990737068,2.6105751445231107
clean,clean,1000,distractors,11,1,success,413,13.733,1,1,2.518635823690712,45.83422374530733
clean,clean,1000,distractors,12,1,success,490,16.3,1,1,1.324792581058606,48.03748496273006
clean,clean,1000,distractors,13,1,success,601,20.0,2,1,1.0407297612165642,47.499234486850106
clean,clean,1000,distractors,14,1,success,455,15.133,1,1,3.5941760952604547,46.26139353886145
clean,clean,1000,distractors,15,1,success,551,18.333,1,1,1.9267555118847532,48.0690788575712
clean,clean,1000,in_distribution,1,1,success,472,15.7,1,1,3.5474627948654422,46.120757919461525
clean,clean,1000,in_distribution,2,1,success,451,15.0,1,1,2.621578766854004,46.340737400291495
clean,clean,1000,in_distribution,3,1,success,472,15.7,1,1,2.4054148689261687,47.989130726492355
