cell,episode,frame,success,instance,released,pan,lift,elbow,wrist_flex,wrist_roll,grasp_x,grasp_y,policy,az,true_az,err,split,dist_in,cube_widths
new_positions,1,932,0,E1,True,-15.86,5.83,19.64,51.92,-29.35,9.07,6.61,randomized-seed2000,-11.37,-50.19,38.82,extrapolation,11.72,7.94
new_positions,5,793,0,E2,True,-65.88,-1.89,20.59,54.02,-1.22,1.79,8.12,randomized-seed2000,-58.82,-60.95,2.12,interpolation,5.15,0.19
new_positions,8,949,0,E3,True,2.22,6.66,7.64,54.97,3.39,10.88,9.05,randomized-seed2000,5.77,5.71,0.06,interpolation,10.05,0.01
new_positions,10,834,0,E4,True,38.45,45.14,-40.44,56.17,-8.49,16.69,13.34,randomized-seed2000,40.14,34.7,5.44,interpolation,7.91,0.75
new_positions,13,970,0,E5,False,-2.76,47.16,-41.6,53.01,4.57,11.65,14.09,randomized-seed2000,1.05,32.2,-31.14,extrapolation,15.95,8.67
new_positions,14,805,0,E5,True,23.23,44.6,-43.28,59.75,1.67,14.58,13.95,randomized-seed2000,25.7,32.2,-6.49,extrapolation,15.95,1.81
new_positions,3,445,0,E1,True,-2.43,-10.19,32.62,40.72,-16.66,9.23,7.3,randomized,1.36,-50.19,51.56,extrapolation,11.72,10.55
new_positions,6,1113,0,E2,False,-67.9,-13.63,51.35,26.35,-1.67,2.08,5.73,randomized,-60.74,-60.95,0.21,interpolation,5.15,0.02
new_positions,9,831,0,E3,True,10.75,27.35,-4.73,30.55,-5.47,13.23,10.84,randomized,13.87,5.71,8.16,interpolation,10.05,1.43
new_positions,10,1145,0,E4,False,36.41,34.71,-20.88,35.32,-9.62,16.06,12.62,randomized,38.21,34.7,3.51,interpolation,7.91,0.48
new_positions,12,893,0,E4,True,34.24,62.03,-57.77,57.0,-14.88,17.07,14.51,randomized,36.15,34.7,1.45,interpolation,7.91,0.2
new_positions,13,355,0,E5,False,13.01,30.04,-22.09,55.17,7.4,13.08,12.03,randomized,16.01,32.2,-16.19,extrapolation,15.95,4.51
