episode,settled_az,instance,policy,true_az,err,to_T6,to_T2,nearest_trained
1,5.8,E1,randomized,-50.19,55.99,18.43,36.76,T6
2,5.25,E1,randomized,-50.19,55.44,18.98,36.21,T6
3,17.45,E1,randomized,-50.19,67.64,6.78,48.41,T6
4,-74.57,E2,randomized,-60.95,-13.62,98.8,43.61,T2
5,-70.76,E2,randomized,-60.95,-9.82,94.99,39.8,T2
6,-56.17,E2,randomized,-60.95,4.78,80.39,25.2,T2
7,0.7,E3,randomized,5.71,-5.02,23.53,31.66,T6
8,18.65,E3,randomized,5.71,12.94,5.58,49.61,T6
9,11.47,E3,randomized,5.71,5.76,12.75,42.44,T6
10,45.13,E4,randomized,34.7,10.43,20.9,76.09,T6
11,6.93,E4,randomized,34.7,-27.77,17.3,37.89,T6
12,36.1,E4,randomized,34.7,1.4,11.87,67.06,T6
13,16.61,E5,randomized,32.2,-15.58,7.61,47.58,T6
14,8.16,E5,randomized,32.2,-24.04,16.07,39.12,T6
15,7.09,E5,randomized,32.2,-25.11,17.14,38.05,T6
1,-3.51,E1,randomized-seed2000,-50.19,46.68,27.74,27.45,T2
2,5.57,E1,randomized-seed2000,-50.19,55.77,18.66,36.54,T6
3,6.19,E1,randomized-seed2000,-50.19,56.38,18.04,37.15,T6
4,2.02,E2,randomized-seed2000,-60.95,62.96,22.21,32.98,T6
5,-52.75,E2,randomized-seed2000,-60.95,8.19,76.98,21.79,T2
6,-67.17,E2,randomized-seed2000,-60.95,-6.22,91.4,36.2,T2
7,0.63,E3,randomized-seed2000,5.71,-5.08,23.59,31.6,T6
8,3.36,E3,randomized-seed2000,5.71,-2.35,20.87,34.32,T6
9,0.48,E3,randomized-seed2000,5.71,-5.23,23.75,31.44,T6
10,33.88,E4,randomized-seed2000,34.7,-0.81,9.65,64.85,T6
11,7.15,E4,randomized-seed2000,34.7,-27.54,17.07,38.12,T6
12,6.55,E4,randomized-seed2000,34.7,-28.14,17.68,37.51,T6
13,3.42,E5,randomized-seed2000,32.2,-28.78,20.81,34.38,T6
14,19.34,E5,randomized-seed2000,32.2,-12.86,4.89,50.3,T6
15,5.11,E5,randomized-seed2000,32.2,-27.09,19.12,36.07,T6
1,-27.77,E1,density,-50.19,22.43,52.0,3.2,T2
2,-26.18,E1,density,-50.19,24.01,50.41,4.78,T2
3,-30.82,E1,density,-50.19,19.38,55.05,0.14,T2
4,-29.56,E2,density,-60.95,31.38,53.79,1.4,T2
5,-30.1,E2,density,-60.95,30.84,54.33,0.86,T2
6,-15.02,E2,density,-60.95,45.92,39.25,15.94,T2
7,14.49,E3,density,5.71,8.78,9.74,45.45,T6
8,11.45,E3,density,5.71,5.74,12.78,42.41,T6
9,17.75,E3,density,5.71,12.04,6.48,48.71,T6
10,-28.0,E4,density,34.7,-62.69,52.22,2.97,T2
11,-28.93,E4,density,34.7,-63.63,53.16,2.03,T2
12,-29.4,E4,density,34.7,-64.09,53.62,1.57,T2
13,10.22,E5,density,32.2,-21.98,14.01,41.18,T6
14,7.99,E5,density,32.2,-24.2,16.23,38.96,T6
15,9.65,E5,density,32.2,-22.55,14.58,40.61,T6
