condition,seed,cell,episode,policy,success,failure_mode,regrasp,kind,frame,az,n_events
randomized,1000,different_object,11,randomized,0,grasp_drop,,drop,542,-2.29,1
randomized,1000,reduced_lighting,14,randomized,0,grasp_drop,,drop,371,-16.16,2
recovery,1000,different_object,1,recovery,0,deliberate_drop,Failed,drop,497,-7.07,2
recovery,1000,different_object,4,recovery,0,deliberate_drop,Failed,drop,742,-9.93,2
recovery,1000,different_object,13,recovery,0,deliberate_drop,Failed,drop,309,-11.95,2
recovery,1000,different_object,14,recovery,0,deliberate_drop,Failed,drop,834,-2.02,1
recovery,1000,in_distribution,1,recovery,0,deliberate_drop,Failed,drop,325,-4.14,2
recovery,1000,in_distribution,4,recovery,0,deliberate_drop,Failed,drop,439,-17.4,2
recovery,1000,in_distribution,5,recovery,0,deliberate_drop,Failed,drop,221,-5.36,1
recovery,1000,in_distribution,6,recovery,0,deliberate_drop,Failed,drop,581,-8.71,2
recovery,1000,in_distribution,7,recovery,0,grasp_drop,,drop,332,-22.64,2
recovery,1000,in_distribution,12,recovery,0,deliberate_drop,Failed,drop,294,-6.95,1
recovery,1000,in_distribution,13,recovery,0,deliberate_drop,Failed,drop,275,-7.32,3
recovery,1000,reduced_lighting,1,recovery,0,deliberate_drop,Failed,drop,294,-14.17,2
recovery,1000,reduced_lighting,2,recovery,0,deliberate_drop,Failed,drop,279,-10.48,2
recovery,1000,reduced_lighting,3,recovery,0,deliberate_drop,Failed,drop,484,-14.52,1
recovery,1000,reduced_lighting,4,recovery,0,grasp_drop,,drop,294,-18.97,2
recovery,1000,reduced_lighting,6,recovery,0,deliberate_drop,Failed,drop,254,-13.85,3
recovery,1000,reduced_lighting,9,recovery,0,deliberate_drop,Failed,drop,375,-14.96,1
recovery,1000,reduced_lighting,10,recovery,0,deliberate_drop,Failed,drop,383,-4.97,2
recovery,1000,reduced_lighting,14,recovery,0,deliberate_drop,Failed,drop,233,-14.01,2
recovery,2000,different_object,1,recovery-seed2000,0,grasp_drop,,drop,744,-20.66,1
recovery,2000,different_object,2,recovery-seed2000,1,success_after_drop,Succeeded,drop,414,-10.86,3
recovery,2000,different_object,4,recovery-seed2000,0,grasp_drop,,drop,528,-33.49,1
recovery,2000,different_object,7,recovery-seed2000,0,deliberate_drop,Failed,drop,271,-6.45,2
recovery,2000,different_object,8,recovery-seed2000,0,deliberate_drop,Failed,drop,625,-8.7,2
recovery,2000,different_object,9,recovery-seed2000,0,deliberate_drop,Failed,drop,509,-8.19,1
recovery,2000,different_object,10,recovery-seed2000,0,deliberate_drop,Failed,drop,334,-9.41,3
recovery,2000,different_object,11,recovery-seed2000,0,deliberate_drop,Failed,drop,332,-11.72,2
recovery,2000,different_object,12,recovery-seed2000,0,deliberate_drop,Failed,drop,622,-7.54,2
recovery,2000,different_object,13,recovery-seed2000,0,deliberate_drop,Failed,drop,280,-12.17,2
recovery,2000,different_object,15,recovery-seed2000,0,deliberate_drop,Failed,drop,593,-9.29,1
recovery,2000,distractors,8,recovery-seed2000,0,deliberate_drop,Failed,drop,336,-11.55,2
recovery,2000,distractors,15,recovery-seed2000,0,deliberate_drop,Succeeded,drop,273,-15.24,1
recovery,2000,in_distribution,1,recovery-seed2000,1,success_after_drop,Succeeded,drop,315,-11.5,2
recovery,2000,in_distribution,2,recovery-seed2000,0,deliberate_drop,Failed,drop,223,-11.44,2
recovery,2000,in_distribution,5,recovery-seed2000,1,success_after_drop,Succeeded,drop,276,-10.84,1
recovery,2000,in_distribution,8,recovery-seed2000,0,deliberate_drop,Failed,drop,229,-12.43,3
recovery,2000,in_distribution,11,recovery-seed2000,0,deliberate_drop,Failed,drop,280,-12.64,2
recovery,2000,in_distribution,12,recovery-seed2000,0,deliberate_drop,Failed,drop,232,-10.69,2
recovery,2000,in_distribution,13,recovery-seed2000,0,deliberate_drop,Failed,drop,228,-15.42,3
recovery,2000,in_distribution,14,recovery-seed2000,0,deliberate_drop,Succeeded,drop,228,-11.58,4
recovery,2000,reduced_lighting,3,recovery-seed2000,0,deliberate_drop,Failed,drop,244,-13.65,3
recovery,2000,reduced_lighting,4,recovery-seed2000,0,deliberate_drop,Failed,drop,258,-10.82,3
recovery,2000,reduced_lighting,5,recovery-seed2000,1,success_after_drop,Succeeded,drop,352,-10.74,2
recovery,2000,reduced_lighting,6,recovery-seed2000,0,deliberate_drop,Failed,drop,310,-14.61,1
recovery,2000,reduced_lighting,7,recovery-seed2000,0,deliberate_drop,Failed,drop,295,-12.8,2
recovery,2000,reduced_lighting,8,recovery-seed2000,0,deliberate_drop,Failed,drop,280,-14.9,2
recovery,2000,reduced_lighting,9,recovery-seed2000,1,success_after_drop,Succeeded,drop,247,-14.37,3
recovery,2000,reduced_lighting,10,recovery-seed2000,0,deliberate_drop,Failed,drop,251,-12.01,3
recovery,2000,reduced_lighting,11,recovery-seed2000,0,deliberate_drop,Failed,drop,246,-10.16,1
recovery,2000,reduced_lighting,12,recovery-seed2000,0,deliberate_drop,Failed,drop,252,-12.84,1
recovery,2000,reduced_lighting,13,recovery-seed2000,0,deliberate_drop,Failed,drop,267,-14.06,1
recovery,2000,reduced_lighting,14,recovery-seed2000,1,success_after_drop,Succeeded,drop,302,-15.39,3
recovery,2000,reduced_lighting,15,recovery-seed2000,0,deliberate_drop,Failed,drop,278,-16.44,4
