policy,condition,seed,cell,episode,success,failure_mode,regrasp,kind,frame,az,n_events
clean,clean,1000,different_object,1,1,success,,delivery,497,-21.64,1
clean,clean,1000,different_object,2,1,success,,delivery,961,-19.73,1
clean,clean,1000,different_object,3,1,success,,delivery,582,-22.41,1
clean,clean,1000,different_object,4,1,success,,delivery,496,-24.11,1
clean,clean,1000,different_object,5,1,success,,delivery,545,-23.95,1
clean,clean,1000,different_object,6,1,success,,delivery,407,-22.45,1
clean,clean,1000,different_object,7,1,success,,delivery,599,-22.89,1
clean,clean,1000,different_object,8,1,success,,delivery,452,-23.3,1
clean,clean,1000,different_object,9,1,success,,delivery,302,-22.61,1
clean,clean,1000,different_object,10,1,success,,delivery,1014,-21.43,1
clean,clean,1000,different_object,11,1,success,,delivery,311,-23.3,1
clean,clean,1000,different_object,12,1,success,,delivery,533,-21.88,1
clean,clean,1000,different_object,13,1,success,,delivery,317,-22.35,1
clean,clean,1000,different_object,14,1,success,,delivery,323,-23.93,1
clean,clean,1000,different_object,15,1,success,,delivery,626,-20.38,1
clean,clean,1000,distractors,1,1,success,,delivery,316,-22.46,1
clean,clean,1000,distractors,2,1,success,,delivery,310,-23.61,1
clean,clean,1000,distractors,3,1,success,,delivery,496,-24.53,1
clean,clean,1000,distractors,4,1,success,,delivery,314,-22.13,1
clean,clean,1000,distractors,5,1,success,,delivery,346,-23.75,1
clean,clean,1000,distractors,6,1,success,,delivery,723,-23.03,1
clean,clean,1000,distractors,7,1,success,,delivery,515,-23.86,1
clean,clean,1000,distractors,9,1,success,,delivery,384,-23.57,1
clean,clean,1000,distractors,11,1,success,,delivery,304,-23.12,1
clean,clean,1000,distractors,12,1,success,,delivery,334,-24.32,1
clean,clean,1000,distractors,13,1,success,,delivery,448,-24.17,1
clean,clean,1000,distractors,14,1,success,,delivery,314,-22.05,1
clean,clean,1000,distractors,15,1,success,,delivery,398,-23.71,1
clean,clean,1000,in_distribution,1,1,success,,delivery,328,-22.09,1
clean,clean,1000,in_distribution,2,1,success,,delivery,303,-23.02,1
clean,clean,1000,in_distribution,3,1,success,,delivery,330,-23.24,1
clean,clean,1000,in_distribution,4,1,success,,delivery,290,-24.09,1
clean,clean,1000,in_distribution,5,1,success,,delivery,297,-23.64,1
clean,clean,1000,in_distribution,6,1,success,,delivery,679,-22.05,1
clean,clean,1000,in_distribution,7,1,success,,delivery,301,-23.11,1
clean,clean,1000,in_distribution,8,1,success,,delivery,312,-23.81,1
clean,clean,1000,in_distribution,9,1,success_after_missed_grasp,,delivery,338,-24.38,1
clean,clean,1000,in_distribution,10,1,success,,delivery,420,-23.78,1
clean,clean,1000,in_distribution,11,1,success,,delivery,305,-23.14,1
clean,clean,1000,in_distribution,12,1,success,,delivery,455,-24.56,1
clean,clean,1000,in_distribution,13,1,success,,delivery,457,-22.16,1
clean,clean,1000,in_distribution,14,1,success,,delivery,355,-23.65,1
clean,clean,1000,in_distribution,15,1,success,,delivery,309,-22.53,1
clean,clean,1000,near_1in,8,0,contact_no_grasp,,drop,1045,4.17,1
clean,clean,1000,near_2in,5,0,timeout_other,,drop,894,10.61,1
clean,clean,1000,new_positions,11,0,timeout_other,,drop,629,12.08,1
clean,clean,1000,reduced_lighting,1,1,success,,delivery,640,-23.63,1
clean,clean,1000,reduced_lighting,2,1,success,,delivery,481,-22.2,1
clean,clean,1000,reduced_lighting,3,1,success,,delivery,376,-23.48,1
clean,clean,1000,reduced_lighting,4,1,success,,delivery,448,-21.59,1
clean,clean,1000,reduced_lighting,5,1,success,,delivery,373,-21.78,1
clean,clean,1000,reduced_lighting,7,1,success,,delivery,481,-22.23,1
clean,clean,1000,reduced_lighting,8,1,success,,delivery,394,-20.47,1
clean,clean,1000,reduced_lighting,9,1,success,,delivery,445,-22.68,1
clean,clean,1000,reduced_lighting,11,1,success,,delivery,413,-23.34,1
clean,clean,1000,reduced_lighting,12,1,success,,delivery,490,-21.98,1
clean,clean,1000,reduced_lighting,13,1,success,,delivery,660,-21.93,1
clean,clean,1000,reduced_lighting,15,1,success,,delivery,909,-23.63,1
clean-seed2000,clean,2000,different_object,1,1,success,,delivery,708,-23.14,1
clean-seed2000,clean,2000,different_object,2,1,success,,delivery,608,-23.6,1
clean-seed2000,clean,2000,different_object,4,1,success,,delivery,1017,-23.15,1
clean-seed2000,clean,2000,different_object,5,1,success,,delivery,634,-22.96,1
clean-seed2000,clean,2000,different_object,6,1,success,,delivery,359,-21.28,1
clean-seed2000,clean,2000,different_object,7,1,success,,delivery,1089,-23.03,1
clean-seed2000,clean,2000,different_object,8,1,success,,delivery,642,-22.92,1
clean-seed2000,clean,2000,different_object,10,1,success,,delivery,770,-22.5,1
clean-seed2000,clean,2000,different_object,11,1,success,,delivery,477,-22.5,1
