cell,episode,frame,success,instance,released,pan,lift,elbow,wrist_flex,wrist_roll,grasp_x,grasp_y
different_object,1,574,1,-,True,21.57,11.48,23.22,33.3,4.65,15.5,6.7
different_object,2,489,1,-,True,21.18,10.87,25.56,28.19,3.38,15.4,6.77
different_object,4,880,1,-,True,21.09,12.43,23.87,30.41,1.73,15.52,6.67
different_object,5,493,1,-,True,21.43,13.14,27.47,25.75,2.47,15.99,6.2
different_object,6,251,1,-,True,20.91,9.01,25.51,33.4,0.07,15.14,6.53
different_object,7,950,1,-,True,21.38,9.43,26.85,27.86,2.65,15.28,6.73
different_object,8,507,1,-,True,21.89,7.4,27.62,31.72,4.48,15.25,6.5
different_object,10,657,1,-,True,20.66,8.34,23.58,32.6,3.32,14.76,7.19
different_object,11,318,1,-,True,21.45,8.35,30.52,27.27,2.67,15.53,6.12
different_object,12,1097,0,-,False,21.25,11.92,21.45,32.37,1.05,15.2,7.1
different_object,13,991,1,-,True,20.6,8.64,25.97,33.39,1.07,15.11,6.5
different_object,14,619,1,-,True,21.26,8.92,28.69,26.14,2.71,15.34,6.56
different_object,15,838,1,-,True,21.34,9.66,22.77,33.63,3.84,15.06,7.06
distractors,1,173,0,-,True,21.6,9.46,23.45,36.05,4.48,15.25,6.7
distractors,2,264,1,-,True,22.16,8.71,25.2,33.13,5.35,15.3,6.71
distractors,3,204,0,-,True,22.68,11.04,20.94,41.53,5.64,15.62,6.48
distractors,4,259,0,-,True,21.29,11.27,18.88,44.23,7.56,15.36,6.67
distractors,5,225,1,-,True,20.44,13.54,18.02,40.76,1.98,15.32,6.81
distractors,6,398,1,-,True,20.32,6.66,26.94,31.31,4.42,14.8,6.83
distractors,7,192,1,-,True,23.01,7.69,25.57,31.63,4.84,15.2,6.93
distractors,8,285,1,-,True,21.77,8.68,22.99,37.41,2.4,15.07,6.77
distractors,9,282,1,-,False,20.73,11.04,22.17,38.11,2.28,15.31,6.52
distractors,10,190,0,-,True,21.37,7.51,22.48,38.43,7.01,14.87,7.02
distractors,11,182,1,-,True,21.35,9.34,21.52,35.14,5.57,14.93,7.26
distractors,12,278,1,-,True,20.77,10.07,24.42,35.89,3.33,15.35,6.39
distractors,13,181,1,-,True,21.86,6.9,25.74,32.47,4.49,14.94,6.94
distractors,14,225,1,-,True,21.34,9.28,24.17,35.29,7.17,15.3,6.66
distractors,15,163,0,-,True,21.49,9.6,21.58,39.66,5.36,15.19,6.75
in_distribution,1,162,1,-,True,22.31,11.22,25.21,31.44,4.02,15.71,6.46
in_distribution,2,350,1,-,True,20.96,11.35,21.36,33.44,1.79,15.1,7.12
in_distribution,3,207,1,-,True,21.76,11.43,22.72,34.68,0.42,15.42,6.65
in_distribution,4,213,1,-,True,22.76,8.49,26.63,31.68,3.15,15.42,6.54
in_distribution,5,189,1,-,True,21.93,11.32,22.55,32.82,1.9,15.35,6.9
in_distribution,6,242,1,-,True,22.41,8.96,21.93,34.31,0.44,14.91,7.26
in_distribution,7,188,1,-,True,21.53,8.56,23.36,31.68,0.72,14.8,7.26
in_distribution,8,444,1,-,True,21.2,9.65,23.8,31.26,3.98,15.08,7.06
in_distribution,9,330,1,-,True,20.75,6.55,27.08,30.92,1.68,14.78,6.83
in_distribution,10,369,1,-,True,21.48,9.6,21.3,35.9,2.21,14.93,7.16
in_distribution,11,367,1,-,True,21.72,8.9,22.16,36.22,4.28,15.0,7.06
in_distribution,12,191,1,-,True,22.21,10.21,21.48,35.89,2.6,15.18,7.02
in_distribution,13,273,1,-,True,20.34,10.03,25.1,33.57,7.01,15.36,6.51
in_distribution,14,300,1,-,True,21.69,4.98,27.32,30.55,2.36,14.63,7.06
in_distribution,15,245,1,-,True,21.97,11.41,23.1,32.2,-0.68,15.37,6.8
near_1in,1,279,1,-,True,22.46,5.68,27.99,36.16,1.18,15.15,6.22
near_1in,2,388,0,-,True,19.6,10.79,20.71,41.16,1.83,15.04,6.6
near_1in,3,264,1,-,True,20.96,9.64,21.82,41.77,2.97,15.19,6.47
near_1in,4,474,0,-,True,18.86,14.06,14.75,45.44,0.89,14.96,7.01
near_1in,5,288,0,-,True,21.25,9.55,23.8,36.74,3.84,15.28,6.53
near_1in,6,235,1,-,True,21.17,9.26,21.83,40.73,0.54,15.05,6.6
near_1in,7,257,0,-,True,21.06,9.95,21.97,32.45,4.11,14.93,7.32
near_1in,8,281,0,-,True,19.61,9.3,21.64,37.57,1.57,14.73,6.98
near_2in,2,289,0,-,True,19.58,6.22,24.29,32.63,4.39,14.33,7.38
near_2in,3,528,0,-,True,20.04,4.41,32.28,28.39,3.43,14.87,6.25
near_2in,4,487,0,-,True,18.35,9.26,25.08,37.23,5.12,15.05,6.28
near_2in,5,560,0,-,True,18.31,7.44,23.92,33.98,3.84,14.39,7.14
near_2in,6,580,0,-,True,19.66,10.4,24.62,34.98,4.85,15.29,6.41
near_2in,7,524,0,-,True,19.18,7.92,25.36,32.47,3.6,14.72,6.88
new_positions,1,493,0,E1,True,20.01,11.93,23.72,34.88,1.42,15.44,6.35
new_positions,2,866,0,E1,True,20.61,6.22,27.29,33.95,7.18,14.96,6.58
new_positions,3,1140,0,E1,False,20.35,5.79,33.5,28.96,3.73,15.36,5.7
new_positions,8,892,0,E3,True,19.45,8.09,27.16,31.12,1.75,14.92,6.55
new_positions,9,581,0,E3,True,19.91,4.61,34.32,27.38,3.25,15.11,5.85
new_positions,10,323,0,E4,True,19.41,6.75,28.76,32.08,1.24,14.89,6.3
new_positions,11,425,0,E4,True,20.88,3.05,33.73,26.19,1.85,14.79,6.34
new_positions,12,655,0,E4,True,20.67,2.43,34.94,24.07,2.83,14.73,6.38
new_positions,13,787,0,E5,True,19.9,5.03,28.3,33.57,3.51,14.67,6.55
new_positions,14,1082,0,E5,False,20.57,6.06,29.29,30.0,4.34,14.96,6.52
new_positions,15,388,0,E5,True,19.68,5.45,32.44,30.13,4.74,15.14,5.89
reduced_lighting,2,348,1,-,True,21.02,10.88,21.79,34.39,-0.47,15.06,6.98
reduced_lighting,3,346,0,-,True,21.38,8.11,25.13,34.21,-2.71,14.95,6.65
reduced_lighting,4,554,1,-,False,20.25,8.5,22.16,38.63,-0.13,14.73,6.86
reduced_lighting,5,1071,0,-,False,21.37,9.37,26.12,31.17,4.32,15.34,6.59
reduced_lighting,7,404,1,-,False,20.78,7.95,19.86,36.24,0.23,14.31,7.71
reduced_lighting,8,637,1,-,False,20.59,8.39,21.14,37.11,0.2,14.57,7.26
reduced_lighting,9,473,1,-,True,20.09,8.07,21.99,37.49,-0.55,14.55,7.08
reduced_lighting,10,494,1,-,True,21.47,11.3,20.81,33.91,2.25,15.12,7.2
reduced_lighting,11,279,0,-,True,21.2,11.12,21.92,38.19,-1.63,15.28,6.52
reduced_lighting,12,244,1,-,True,21.81,8.76,22.66,33.42,2.29,14.89,7.23
reduced_lighting,13,262,0,-,True,20.4,11.92,20.78,37.85,0.66,15.22,6.71
reduced_lighting,14,369,1,-,True,21.22,7.74,25.14,34.07,0.44,14.92,6.75
reduced_lighting,15,318,1,-,True,20.48,11.58,20.74,39.58,-2.16,15.17,6.58
