cell,episode,frame,success,instance,released,pan,lift,elbow,wrist_flex,wrist_roll,grasp_x,grasp_y
different_object,1,362,1,-,False,20.99,8.62,27.34,29.26,1.6,15.17,6.6
different_object,2,833,1,-,True,20.98,7.37,27.54,26.17,2.33,14.85,7.07
different_object,3,461,1,-,True,20.75,10.32,23.02,34.86,-0.15,15.1,6.74
different_object,4,356,1,-,True,20.82,8.12,25.2,31.98,1.86,14.9,6.9
different_object,5,437,1,-,True,20.03,14.75,19.1,34.37,-0.38,15.34,6.99
different_object,6,268,1,-,True,20.79,11.06,23.79,33.79,1.17,15.33,6.57
different_object,7,490,1,-,True,21.54,11.55,23.23,35.1,0.1,15.49,6.47
different_object,8,315,1,-,True,20.75,7.68,24.99,31.63,0.54,14.73,7.04
different_object,9,192,1,-,True,20.59,11.27,23.41,31.32,1.22,15.2,6.87
different_object,10,883,1,-,True,21.42,8.65,24.23,32.72,1.54,14.98,6.96
different_object,11,200,1,-,True,20.86,13.4,19.66,33.33,-0.06,15.22,7.17
different_object,12,410,1,-,True,20.87,14.62,18.89,34.07,-0.06,15.39,7.08
different_object,13,196,1,-,True,20.63,12.06,22.65,34.55,-0.08,15.37,6.58
different_object,14,204,1,-,True,21.03,13.24,20.5,34.44,1.89,15.41,6.91
different_object,15,486,1,-,True,21.98,4.75,31.59,25.84,2.08,14.98,6.58
distractors,1,196,1,-,True,20.82,10.2,23.89,33.27,3.03,15.2,6.75
distractors,2,193,1,-,True,20.69,8.7,23.23,36.13,5.82,14.99,6.88
distractors,3,386,1,-,True,20.52,9.25,24.35,33.32,3.47,15.05,6.8
distractors,4,192,1,-,True,21.28,9.89,23.05,31.97,2.4,15.03,7.11
distractors,5,219,1,-,True,21.01,11.3,20.47,40.39,6.71,15.37,6.68
distractors,6,600,1,-,True,20.89,8.68,24.28,33.45,3.21,14.98,6.89
distractors,7,390,1,-,True,20.43,10.61,21.67,33.5,1.9,14.93,7.16
distractors,8,216,0,-,False,21.75,8.67,27.33,32.28,4.79,15.47,6.31
distractors,9,258,1,-,True,21.01,7.55,26.47,29.99,4.43,14.95,6.92
