cell,episode,frame,success,instance,released,pan,lift,elbow,wrist_flex,wrist_roll,grasp_x,grasp_y
different_object,1,170,1,-,True,21.53,21.84,-3.45,61.22,10.95,15.33,8.43
different_object,2,149,1,-,True,22.47,25.07,-6.13,61.94,4.61,15.63,8.39
different_object,3,141,1,-,True,21.12,24.98,-9.03,64.42,0.04,15.06,8.79
different_object,4,169,1,-,True,21.63,27.18,-13.11,69.85,17.65,15.62,8.99
different_object,5,177,1,-,True,22.69,34.12,-21.51,77.71,17.97,16.34,9.01
different_object,6,170,1,-,True,22.21,29.07,-13.24,70.1,10.14,15.89,8.62
different_object,7,179,1,-,True,22.05,24.42,-8.44,66.45,19.42,15.64,8.71
different_object,8,135,1,-,True,21.91,26.85,-9.69,67.41,4.66,15.66,8.38
different_object,9,151,1,-,True,21.59,24.93,-10.07,67.18,20.48,15.52,8.94
different_object,10,169,1,-,True,22.14,27.61,-9.78,66.44,19.06,16.08,8.5
different_object,11,133,1,-,True,21.86,27.26,-12.73,70.74,6.95,15.52,8.7
different_object,12,167,1,-,True,21.79,23.98,-7.18,64.44,16.19,15.53,8.66
different_object,13,182,1,-,True,21.99,30.94,-17.38,73.77,3.0,15.69,8.84
different_object,14,125,1,-,True,22.2,28.46,-14.32,71.43,2.99,15.54,8.76
different_object,15,141,1,-,True,21.9,31.95,-17.71,72.23,16.34,16.05,9.02
distractors,1,207,1,-,True,22.16,30.4,-17.36,74.35,22.53,16.04,9.03
distractors,2,161,1,-,True,21.95,33.24,-21.51,75.08,15.8,15.92,9.4
distractors,3,178,1,-,True,22.86,28.32,-17.43,73.89,-0.69,15.23,9.21
distractors,4,131,1,-,True,21.93,23.66,-9.9,66.27,0.92,14.9,9.02
distractors,5,184,1,-,True,21.36,24.6,-7.63,65.65,-1.36,15.22,8.39
distractors,6,179,1,-,True,21.9,23.55,-9.65,66.44,1.66,14.93,8.97
distractors,7,288,1,-,True,22.47,27.5,-14.24,69.92,-1.17,15.26,9.01
distractors,8,183,1,-,True,21.43,27.17,-9.74,65.85,16.96,15.84,8.61
distractors,9,245,1,-,True,21.27,25.47,-8.65,67.19,18.63,15.72,8.51
distractors,10,154,1,-,True,22.5,25.95,-9.24,68.58,18.72,15.96,8.42
distractors,11,182,1,-,True,21.58,26.86,-9.25,64.88,1.24,15.5,8.5
distractors,12,144,1,-,True,22.13,29.63,-15.96,71.23,-0.61,15.47,8.94
distractors,13,182,1,-,True,21.82,23.36,-4.91,63.02,-0.55,15.3,8.23
