cell,episode,frame,success,instance,released,pan,lift,elbow,wrist_flex,wrist_roll,grasp_x,grasp_y
different_object,1,171,1,-,True,19.73,22.68,-5.15,64.88,20.3,15.37,8.42
different_object,2,150,1,-,True,20.38,22.84,-7.09,64.36,19.97,15.21,8.88
different_object,3,172,1,-,True,22.33,21.06,-1.92,59.28,20.69,15.6,8.48
different_object,4,187,1,-,True,22.37,23.74,-8.95,64.79,3.51,15.09,8.95
different_object,5,155,1,-,True,21.55,25.35,-7.99,64.42,20.27,15.74,8.67
different_object,6,159,1,-,True,19.92,24.35,-9.83,65.42,-0.02,14.72,8.99
different_object,7,128,1,-,True,20.82,22.81,-2.91,60.62,-1.45,15.21,8.1
different_object,8,176,1,-,True,22.23,24.11,-2.93,60.78,17.27,16.03,8.04
different_object,9,185,1,-,True,21.33,22.54,-4.02,61.24,-0.16,15.13,8.35
different_object,10,148,1,-,True,19.62,21.33,-4.46,61.82,2.09,14.69,8.62
different_object,11,183,1,-,True,21.08,26.26,-9.94,66.61,-0.79,15.26,8.57
different_object,12,173,1,-,True,21.91,27.51,-10.63,66.85,16.04,15.88,8.65
different_object,13,169,1,-,True,21.75,24.1,-7.49,65.78,21.24,15.67,8.63
different_object,14,128,1,-,True,22.26,18.72,3.54,55.07,8.95,15.43,7.92
different_object,15,137,1,-,True,22.21,28.18,-12.1,68.58,-0.93,15.58,8.55
distractors,1,176,1,-,True,22.13,29.05,-11.78,68.79,16.23,16.14,8.47
distractors,2,136,1,-,True,21.8,25.79,-11.55,68.65,2.39,15.21,8.83
distractors,3,173,1,-,True,21.41,29.84,-13.17,70.84,14.96,16.07,8.45
distractors,4,134,1,-,True,22.78,26.7,-13.78,71.74,-1.09,15.28,8.85
distractors,5,163,1,-,True,21.44,32.75,-19.54,73.7,7.4,15.78,9.09
distractors,6,174,1,-,True,22.47,33.63,-19.4,74.06,18.31,16.34,8.97
distractors,7,140,1,-,True,23.36,32.09,-17.95,71.0,-0.45,15.84,9.02
distractors,8,137,1,-,True,22.16,23.91,-10.18,66.89,-0.86,14.93,8.96
distractors,9,176,1,-,True,21.93,27.5,-10.38,68.87,18.66,16.05,8.41
distractors,10,183,1,-,True,22.46,22.79,-7.53,65.18,-1.33,15.01,8.7
distractors,11,162,0,-,True,21.49,27.45,-11.3,68.33,12.98,15.72,8.64
distractors,12,177,1,-,True,22.67,30.52,-12.38,69.67,18.04,16.49,8.3
distractors,13,143,1,-,True,22.78,28.34,-12.11,70.98,10.72,16.02,8.39
distractors,14,130,0,-,True,22.93,25.53,-13.32,71.9,-1.29,15.13,8.91
distractors,15,190,1,-,True,21.62,31.01,-18.24,74.57,17.43,15.88,9.08
in_distribution,1,127,1,-,True,21.04,27.85,-7.96,65.28,-1.05,15.76,7.99
in_distribution,2,249,1,-,True,21.57,29.9,-11.73,68.35,19.51,16.29,8.4
in_distribution,3,154,1,-,True,20.7,21.35,-5.51,62.61,28.58,15.28,9.01
in_distribution,4,136,1,-,True,21.9,26.96,-11.36,69.7,0.23,15.47,8.48
in_distribution,5,134,1,-,True,21.42,29.13,-9.33,62.9,-0.75,15.79,8.34
in_distribution,6,131,1,-,True,22.26,27.44,-12.25,70.05,-0.49,15.49,8.56
in_distribution,7,141,1,-,True,20.94,24.62,-8.79,66.1,-0.85,15.05,8.62
in_distribution,8,125,0,-,True,20.04,22.71,-8.05,64.67,-0.36,14.61,8.91
in_distribution,9,138,1,-,True,20.58,23.8,-8.04,65.37,-0.67,14.92,8.66
in_distribution,10,199,1,-,True,21.49,30.84,-12.91,68.85,13.59,16.2,8.42
in_distribution,11,134,0,-,True,21.44,25.15,-9.48,65.14,-0.14,15.11,8.79
in_distribution,12,167,1,-,True,22.34,27.21,-11.6,67.36,0.21,15.45,8.72
in_distribution,13,128,1,-,True,22.64,27.83,-11.29,66.96,-1.06,15.6,8.58
in_distribution,14,168,1,-,True,21.64,28.67,-11.57,68.75,1.31,15.72,8.36
in_distribution,15,164,1,-,True,21.76,27.16,-12.38,69.79,-0.93,15.34,8.66
new_positions,1,196,0,E1,True,20.77,26.61,-12.86,69.02,-2.09,14.98,8.93
new_positions,2,188,0,E1,True,20.48,27.93,-12.56,69.48,-1.79,15.26,8.61
new_positions,3,276,0,E1,True,21.93,31.17,-18.23,72.98,-2.42,15.48,9.02
new_positions,4,904,0,E2,True,21.11,21.85,-4.35,62.37,0.3,14.98,8.43
new_positions,5,327,0,E2,True,20.55,28.15,-15.97,71.12,-1.04,14.96,9.2
new_positions,6,515,0,E2,True,20.36,26.84,-11.58,65.5,0.37,15.05,8.98
new_positions,7,179,0,E3,True,21.11,25.99,-16.66,77.09,-1.02,14.77,9.1
