cell,episode,frame,success,instance,released,pan,lift,elbow,wrist_flex,wrist_roll,grasp_x,grasp_y
in_distribution,1,166,1,-,False,21.82,21.93,-3.54,61.5,20.14,15.57,8.49
in_distribution,2,163,1,-,True,21.28,18.28,-1.81,58.54,17.75,14.85,8.95
in_distribution,3,175,1,-,True,21.98,19.92,1.9,58.25,22.17,15.81,7.9
in_distribution,4,180,1,-,True,21.54,18.66,1.42,57.96,22.15,15.44,8.25
in_distribution,5,159,1,-,True,21.79,19.38,-1.05,61.12,20.27,15.38,8.36
in_distribution,6,168,1,-,True,21.58,19.98,-4.46,63.11,20.67,15.12,8.86
in_distribution,7,164,1,-,True,22.38,22.44,-4.48,62.1,17.32,15.59,8.53
in_distribution,8,176,1,-,True,21.58,20.39,-2.4,61.28,21.07,15.4,8.5
in_distribution,9,158,1,-,True,22.48,20.74,-5.08,64.61,20.39,15.36,8.72
in_distribution,10,175,1,-,True,21.32,18.39,-1.33,63.12,20.85,15.19,8.4
in_distribution,11,181,1,-,True,21.87,20.67,0.24,59.2,19.19,15.71,8.04
in_distribution,12,149,1,-,True,22.48,19.94,-3.2,63.31,22.62,15.44,8.56
in_distribution,13,171,1,-,True,20.61,21.05,-1.78,62.8,20.27,15.52,8.11
in_distribution,14,181,1,-,True,20.47,18.76,3.83,55.73,22.11,15.54,7.91
in_distribution,15,167,1,-,True,21.09,18.42,-1.5,61.28,20.74,15.06,8.61
trained_t2,1,202,1,-,True,-37.14,-1.33,24.86,55.06,-38.09,5.51,6.36
trained_t2,2,169,1,-,True,-37.31,-1.97,27.7,56.16,-37.53,5.78,5.71
trained_t2,3,193,1,-,True,-38.15,8.18,14.45,61.26,-38.93,6.11,6.6
trained_t2,4,160,1,-,True,-38.3,2.01,24.67,58.26,-39.08,6.08,5.55
trained_t2,5,192,1,-,True,-37.83,5.7,12.5,65.96,-35.93,5.67,7.0
trained_t2,6,192,1,-,True,-36.22,6.34,21.66,58.16,-38.46,6.81,5.54
trained_t2,7,172,1,-,True,-38.54,9.46,14.59,63.33,-39.05,6.4,6.16
trained_t2,8,176,1,-,True,-38.6,4.2,22.91,57.35,-39.21,6.2,5.7
trained_t2,9,187,1,-,True,-38.18,5.41,21.45,57.75,-39.67,6.31,5.79
trained_t2,10,197,1,-,True,-39.54,0.62,26.01,53.89,-37.31,5.68,5.93
trained_t2,11,171,1,-,True,-38.4,9.04,14.5,63.76,-40.62,6.31,6.19
trained_t2,12,192,1,-,True,-38.36,1.66,19.64,58.65,-37.76,5.41,6.73
trained_t2,13,171,1,-,True,-38.63,4.94,21.0,57.63,-38.58,6.12,5.99
trained_t2,14,191,1,-,True,-37.53,3.06,18.0,60.12,-37.83,5.63,6.73
trained_t2,15,175,1,-,True,-36.9,-0.13,21.27,57.08,-38.18,5.39,6.78
new_positions,1,211,0,E1,True,-37.23,-3.39,28.89,57.71,-38.15,5.72,5.5
new_positions,2,254,0,E1,True,-35.12,-6.88,26.41,56.24,-36.7,4.98,6.77
new_positions,3,284,0,E1,True,-35.2,-2.97,27.06,55.29,-29.68,5.91,6.15
new_positions,4,174,0,E2,True,-35.46,-3.68,13.61,72.07,-26.99,4.75,7.7
new_positions,5,325,0,E2,True,-35.3,1.0,26.78,57.55,-36.16,6.59,5.3
new_positions,6,384,0,E2,True,-37.48,0.59,21.94,60.62,-35.43,5.74,6.19
new_positions,7,230,0,E3,True,18.31,16.94,-4.11,66.63,17.55,14.23,8.91
new_positions,8,240,0,E3,True,19.34,5.74,13.26,58.11,17.08,14.08,7.56
new_positions,9,218,0,E3,True,14.27,2.84,11.64,57.63,15.9,12.6,8.48
new_positions,10,338,0,E4,True,-33.05,-2.44,25.02,57.82,-28.26,6.17,6.28
new_positions,11,284,0,E4,True,-23.6,-28.94,41.51,53.81,-17.65,4.48,7.15
new_positions,12,289,0,E4,True,15.29,0.13,16.84,53.55,16.5,12.73,8.13
new_positions,13,343,0,E5,True,19.51,11.39,0.97,65.9,18.73,13.96,8.71
