cell,episode,frame,success,instance,released,pan,lift,elbow,wrist_flex,wrist_roll,grasp_x,grasp_y
different_object,1,701,1,-,True,23.48,22.73,-10.36,66.71,11.19,15.09,9.31
different_object,11,235,1,-,True,21.64,17.6,-2.39,61.7,8.1,14.62,8.79
different_object,12,1145,0,-,False,20.59,16.09,1.17,53.08,-4.23,14.05,8.97
distractors,1,291,0,-,True,12.91,46.19,-36.66,51.11,-15.26,13.68,12.99
distractors,2,240,0,-,True,9.07,36.77,-23.38,48.24,-14.24,12.96,11.78
distractors,3,344,0,-,True,22.78,33.17,-18.34,49.29,-8.15,14.89,11.03
distractors,4,285,0,-,True,22.46,9.91,2.53,48.54,-6.43,13.05,10.06
distractors,5,243,0,-,True,18.01,12.38,8.16,47.15,-6.03,13.61,8.56
distractors,6,237,0,-,True,21.32,14.04,16.39,29.43,-8.27,14.66,8.13
distractors,7,320,0,-,True,7.49,41.42,-29.74,49.04,-15.23,12.85,12.42
distractors,8,593,0,-,True,10.18,51.13,-41.54,51.85,4.18,14.07,13.44
distractors,9,269,0,-,True,18.71,14.57,2.91,57.53,4.57,14.09,8.47
distractors,10,433,0,-,True,8.56,43.75,-36.14,47.58,2.74,12.93,13.81
distractors,11,244,0,-,True,9.19,32.46,-14.11,39.85,-12.49,13.04,11.2
distractors,12,444,0,-,True,18.27,41.74,-31.02,56.02,-8.36,14.59,11.93
distractors,13,487,0,-,True,11.61,53.46,-43.96,50.51,0.32,14.27,13.71
distractors,14,245,0,-,True,17.13,43.44,-43.88,62.68,-5.23,13.45,13.98
distractors,15,394,0,-,True,14.01,38.52,-20.04,41.13,-9.87,14.18,11.44
in_distribution,1,680,0,-,True,17.95,34.15,-18.84,56.13,13.64,15.1,10.55
in_distribution,2,995,0,-,False,23.71,22.39,-3.04,61.35,10.81,15.77,8.21
in_distribution,3,589,1,-,True,23.63,16.72,6.62,52.05,8.75,15.49,7.82
in_distribution,4,264,1,-,True,21.15,18.75,-2.28,58.82,12.47,14.77,8.91
in_distribution,5,443,0,-,True,21.97,22.94,-3.2,55.87,14.81,15.49,8.76
in_distribution,6,485,0,-,True,23.77,25.41,-7.84,59.11,12.78,15.7,9.07
in_distribution,7,390,1,-,True,22.88,26.58,-14.96,68.09,8.38,15.17,9.59
in_distribution,8,252,1,-,True,22.66,22.39,-6.36,62.21,12.76,15.28,8.91
in_distribution,9,473,0,-,True,22.38,31.75,-21.51,65.28,9.6,15.17,10.55
in_distribution,10,392,0,-,True,19.04,40.68,-33.41,58.61,2.78,14.51,12.48
in_distribution,11,352,0,-,True,23.08,16.6,2.59,51.19,9.45,14.86,8.85
in_distribution,12,266,1,-,True,24.01,19.92,3.13,52.9,7.55,15.72,8.0
in_distribution,13,660,0,-,True,23.03,19.43,-1.63,58.26,12.68,15.21,8.69
in_distribution,14,988,0,-,True,7.6,53.73,-49.45,49.47,-4.75,12.94,15.01
in_distribution,15,393,1,-,True,23.09,16.98,3.36,52.63,3.24,14.96,8.42
new_positions,1,932,0,E1,True,-15.86,5.83,19.64,51.92,-29.35,9.07,6.61
new_positions,5,793,0,E2,True,-65.88,-1.89,20.59,54.02,-1.22,1.79,8.12
new_positions,8,949,0,E3,True,2.22,6.66,7.64,54.97,3.39,10.88,9.05
new_positions,10,834,0,E4,True,38.45,45.14,-40.44,56.17,-8.49,16.69,13.34
new_positions,13,970,0,E5,False,-2.76,47.16,-41.6,53.01,4.57,11.65,14.09
new_positions,14,805,0,E5,True,23.23,44.6,-43.28,59.75,1.67,14.58,13.95
reduced_lighting,1,487,1,-,True,24.24,9.87,15.36,45.47,8.16,15.1,7.56
reduced_lighting,3,545,0,-,True,29.17,40.44,-37.36,61.23,1.15,15.37,13.06
reduced_lighting,4,1149,0,-,False,21.82,16.86,4.14,54.44,8.18,15.05,8.13
reduced_lighting,5,292,1,-,True,22.6,15.98,4.12,55.46,9.22,15.04,8.18
reduced_lighting,6,273,1,-,True,22.04,17.65,3.79,54.1,8.54,15.18,8.12
reduced_lighting,8,436,0,-,True,19.45,25.93,-11.4,54.48,5.3,14.43,10.23
reduced_lighting,9,644,1,-,True,21.61,14.83,4.5,52.88,-0.32,14.44,8.46
reduced_lighting,10,789,0,-,True,21.15,23.45,3.67,44.55,-4.62,15.5,8.06
reduced_lighting,11,685,1,-,True,22.36,15.69,4.84,56.73,6.9,15.05,7.92
reduced_lighting,12,977,0,-,True,22.85,16.2,3.86,54.52,-1.82,14.82,8.2
reduced_lighting,13,285,0,-,True,20.35,10.28,8.42,50.27,0.87,13.82,8.57
reduced_lighting,15,838,0,-,True,15.22,41.72,-34.23,48.26,-7.47,13.48,13.48
