cell,episode,frame,success,instance,released,pan,lift,elbow,wrist_flex,wrist_roll,grasp_x,grasp_y
different_object,4,654,0,-,True,30.15,31.52,-20.83,50.1,-9.51,15.23,11.7
different_object,5,1145,0,-,False,15.79,42.42,-33.36,55.75,2.12,14.3,12.5
different_object,6,676,0,-,True,12.69,43.09,-33.11,55.74,7.02,14.15,12.41
different_object,7,409,0,-,True,21.61,37.37,-27.57,59.66,7.05,15.09,11.59
different_object,8,940,0,-,False,15.65,6.55,25.18,29.23,-6.98,13.62,7.4
different_object,10,940,0,-,True,17.11,51.99,-43.09,52.12,4.08,14.96,13.57
different_object,11,291,0,-,True,21.35,24.29,-13.13,66.8,7.63,14.69,9.67
different_object,12,895,0,-,False,36.19,51.79,-41.93,45.99,-6.55,17.12,13.67
different_object,13,240,0,-,True,20.04,18.98,-4.75,59.75,6.62,14.26,9.3
different_object,14,1045,0,-,True,21.15,44.12,-40.05,54.76,-5.31,14.28,13.74
different_object,15,1036,0,-,True,20.3,45.38,-33.42,50.73,-9.4,15.01,12.4
distractors,1,591,0,-,True,19.09,48.11,-36.08,52.5,0.24,15.31,12.49
distractors,2,260,0,-,True,19.67,12.67,6.98,51.17,1.74,14.06,8.44
distractors,3,344,0,-,True,17.86,41.37,-26.85,43.55,-6.05,14.54,12.3
distractors,4,378,1,-,True,23.19,14.16,7.8,51.46,-1.39,14.86,7.93
distractors,5,395,0,-,True,28.67,48.3,-34.75,46.23,-9.65,16.32,12.6
distractors,6,342,0,-,True,16.73,41.52,-28.72,49.46,-11.99,14.3,12.07
distractors,7,244,0,-,True,21.68,25.78,-5.45,49.44,-8.48,14.97,9.25
distractors,8,212,0,-,True,22.14,20.81,3.26,47.6,4.05,15.38,8.35
distractors,9,190,0,-,True,24.75,13.76,7.91,43.33,-13.56,14.42,8.65
distractors,10,532,0,-,True,11.56,51.8,-43.96,52.41,2.39,14.06,13.8
distractors,11,445,0,-,True,4.65,41.36,-21.43,39.2,-2.83,13.39,11.64
distractors,12,393,0,-,True,7.16,37.44,-23.44,44.02,-5.66,12.84,12.2
distractors,13,592,0,-,True,14.55,46.88,-41.68,50.67,-5.02,13.58,14.15
distractors,14,545,0,-,True,11.0,52.73,-40.02,52.43,0.64,14.63,12.74
distractors,15,394,0,-,True,20.92,16.88,6.59,36.4,-9.44,14.16,9.22
in_distribution,1,442,1,-,True,21.73,15.66,6.66,50.6,12.1,15.05,8.17
in_distribution,2,350,0,-,True,22.97,26.84,-18.19,67.44,12.87,14.88,10.39
in_distribution,4,443,0,-,True,21.45,17.04,0.56,59.46,11.74,14.85,8.46
in_distribution,5,277,1,-,True,22.67,20.18,3.81,50.55,11.32,15.66,8.09
in_distribution,6,540,1,-,True,20.82,19.25,3.27,50.72,13.31,15.22,8.38
in_distribution,7,394,0,-,True,21.83,22.6,-3.05,52.9,11.46,15.24,9.05
in_distribution,8,289,1,-,True,19.86,12.59,9.33,49.57,7.1,14.41,8.12
in_distribution,9,547,1,-,True,22.07,15.14,9.07,51.54,15.25,15.41,7.63
in_distribution,10,365,0,-,True,20.24,14.02,7.11,53.51,14.54,14.77,8.07
in_distribution,11,335,0,-,True,19.96,41.99,-32.1,55.84,8.11,15.05,12.29
in_distribution,12,204,1,-,True,21.6,19.47,4.02,58.79,14.03,15.8,7.37
in_distribution,13,299,0,-,True,22.83,35.72,-22.91,63.68,9.29,15.74,10.39
in_distribution,14,446,0,-,True,20.51,14.88,1.61,60.21,10.59,14.45,8.49
in_distribution,15,486,0,-,True,19.87,30.86,-14.9,57.67,11.79,15.25,9.98
new_positions,3,445,0,E1,True,-2.43,-10.19,32.62,40.72,-16.66,9.23,7.3
new_positions,6,1113,0,E2,False,-67.9,-13.63,51.35,26.35,-1.67,2.08,5.73
new_positions,9,831,0,E3,True,10.75,27.35,-4.73,30.55,-5.47,13.23,10.84
new_positions,10,1145,0,E4,False,36.41,34.71,-20.88,35.32,-9.62,16.06,12.62
new_positions,12,893,0,E4,True,34.24,62.03,-57.77,57.0,-14.88,17.07,14.51
new_positions,13,355,0,E5,False,13.01,30.04,-22.09,55.17,7.4,13.08,12.03
reduced_lighting,1,276,0,-,True,21.11,21.99,0.51,50.72,14.25,15.45,8.58
reduced_lighting,2,439,0,-,True,15.09,38.24,-28.13,58.44,3.85,14.22,11.73
reduced_lighting,3,351,1,-,True,20.34,17.44,-1.4,56.27,14.18,14.45,9.2
reduced_lighting,4,243,1,-,True,22.49,18.47,-1.06,58.1,8.96,14.94,8.7
reduced_lighting,5,664,1,-,True,22.4,15.82,3.94,56.83,10.41,15.04,8.12
reduced_lighting,6,428,0,-,True,19.78,19.74,0.96,54.91,12.42,15.03,8.41
reduced_lighting,7,494,0,-,True,17.15,43.12,-33.2,58.56,4.21,14.79,12.08
reduced_lighting,8,378,0,-,True,16.42,37.53,-31.94,63.99,7.97,14.07,12.18
reduced_lighting,9,220,1,-,True,22.15,13.77,12.1,45.04,4.71,15.07,7.71
reduced_lighting,10,476,0,-,True,24.02,19.8,2.63,59.86,13.32,16.03,7.5
reduced_lighting,11,535,0,-,True,21.91,24.03,-5.16,50.8,2.17,14.98,9.42
reduced_lighting,12,580,0,-,True,11.54,46.87,-39.1,60.56,5.94,14.13,12.7
reduced_lighting,13,287,1,-,True,21.75,15.76,6.4,54.93,8.08,15.13,7.74
reduced_lighting,14,239,0,-,True,23.35,18.55,2.99,50.81,1.31,15.14,8.41
reduced_lighting,15,482,0,-,True,12.47,51.68,-38.4,47.41,0.63,14.63,13.02
