cell,episode,frame,success,instance,released,pan,lift,elbow,wrist_flex,wrist_roll,grasp_x,grasp_y
different_object,1,636,0,-,True,22.79,23.56,-3.67,59.52,15.7,15.82,8.4
different_object,2,314,1,-,True,21.61,25.51,-1.93,60.37,14.92,16.28,7.61
different_object,3,201,1,-,True,22.04,24.14,-6.46,61.33,13.56,15.51,8.76
different_object,4,209,0,-,True,21.67,25.19,-7.5,59.97,12.53,15.45,8.96
different_object,5,369,1,-,True,22.82,26.64,-10.43,62.42,14.6,15.65,9.16
different_object,6,424,1,-,True,21.87,29.15,-9.13,63.15,13.43,16.18,8.39
different_object,7,186,0,-,True,21.43,25.0,-7.14,63.12,14.26,15.59,8.61
different_object,8,536,0,-,True,22.36,27.68,-9.41,66.1,14.96,16.07,8.4
different_object,9,429,0,-,False,21.53,19.53,-2.25,61.05,15.01,15.11,8.58
different_object,10,235,0,-,True,21.14,26.34,-14.11,72.0,19.05,15.38,9.15
different_object,11,228,0,-,True,21.71,27.72,-11.34,64.85,13.62,15.67,8.95
different_object,12,345,0,-,True,21.29,31.31,-17.31,64.87,11.74,15.5,9.73
different_object,13,183,0,-,True,22.58,24.32,-8.6,66.64,14.35,15.57,8.69
different_object,14,693,1,-,True,21.7,27.08,-14.71,72.86,16.59,15.5,9.06
different_object,15,473,0,-,True,22.72,25.42,-7.27,60.54,12.78,15.69,8.8
distractors,1,241,1,-,True,20.79,23.93,-4.39,61.41,14.17,15.58,8.33
distractors,2,179,1,-,True,20.05,29.23,-13.09,68.05,7.5,15.52,8.76
distractors,3,216,1,-,True,19.84,24.84,-8.97,67.41,11.26,15.23,8.61
distractors,4,414,1,-,True,18.9,28.28,-12.71,63.39,5.9,15.02,9.28
distractors,5,181,1,-,True,20.3,21.05,-4.88,61.18,12.69,14.86,8.91
distractors,6,234,0,-,True,20.77,28.72,-10.17,61.74,12.31,15.74,8.83
distractors,7,161,1,-,True,20.69,21.8,-1.39,59.21,13.12,15.43,8.19
distractors,8,239,0,-,True,20.89,25.62,-2.26,61.26,12.07,16.15,7.56
distractors,9,164,1,-,True,21.3,20.86,-0.06,55.33,12.66,15.34,8.41
distractors,10,193,1,-,True,19.73,23.53,-2.31,59.63,0.66,15.28,7.98
distractors,11,222,1,-,True,20.45,29.1,-15.75,69.11,8.98,15.28,9.29
distractors,12,152,1,-,True,21.52,22.51,-7.13,60.12,11.8,14.96,9.28
distractors,13,190,1,-,True,19.81,25.5,-8.54,66.32,12.56,15.39,8.53
distractors,14,174,1,-,True,20.78,26.83,-9.49,69.11,15.27,15.82,8.27
distractors,15,185,0,-,True,21.06,18.93,4.43,57.21,11.39,15.56,7.5
in_distribution,1,214,1,-,True,21.68,26.42,-8.29,60.77,14.13,15.65,8.88
in_distribution,2,139,0,-,True,22.59,20.96,-2.04,59.94,11.46,15.44,8.37
in_distribution,3,133,1,-,True,22.43,16.11,4.57,60.34,9.61,15.31,7.58
in_distribution,4,178,1,-,True,22.6,17.12,4.89,54.26,17.31,15.48,8.01
in_distribution,5,184,1,-,True,23.04,15.9,5.55,57.08,15.99,15.47,7.76
in_distribution,6,169,1,-,True,22.15,20.17,4.32,53.7,13.28,15.83,7.68
in_distribution,7,209,1,-,True,20.78,20.9,-0.11,57.1,15.12,15.39,8.27
in_distribution,8,133,0,-,True,22.07,20.95,4.55,56.76,12.26,16.1,7.19
in_distribution,9,172,1,-,True,20.15,24.24,-8.85,66.95,14.34,15.22,8.75
in_distribution,10,158,1,-,True,20.83,19.46,-3.59,61.19,17.1,14.88,8.91
in_distribution,11,182,0,-,True,22.45,25.32,-6.37,57.25,14.4,15.65,8.96
in_distribution,12,138,0,-,True,21.54,20.11,2.35,57.49,9.62,15.56,7.74
in_distribution,13,128,0,-,True,21.32,20.6,-1.32,61.41,6.58,15.25,8.08
in_distribution,14,128,0,-,True,23.05,22.61,-3.71,63.61,16.27,15.85,8.16
in_distribution,15,137,1,-,True,22.31,17.19,7.14,52.12,20.01,15.71,7.73
new_positions,2,1102,0,E1,False,17.88,23.14,-8.35,61.35,13.11,14.52,9.38
new_positions,3,846,0,E1,True,18.22,38.83,-29.5,60.73,7.77,14.74,11.72
new_positions,7,172,0,E3,True,19.09,20.52,-1.17,52.83,15.03,14.79,9.01
new_positions,8,235,0,E3,True,19.86,25.33,-10.81,55.72,12.65,14.65,10.13
new_positions,9,190,0,E3,True,21.23,18.51,-4.9,57.22,18.7,14.46,9.76
new_positions,10,235,0,E4,True,20.6,21.27,-5.19,56.95,10.84,14.7,9.35
new_positions,11,846,0,E4,True,21.83,29.68,-17.05,68.65,16.27,15.54,9.59
new_positions,13,191,0,E5,True,20.12,22.18,-9.54,56.02,14.7,14.29,10.33
new_positions,14,274,0,E5,True,19.91,27.21,-8.96,59.01,12.37,15.38,9.08
new_positions,15,685,0,E5,True,19.45,22.86,-7.06,55.9,13.5,14.62,9.66
reduced_lighting,1,178,1,-,True,20.81,19.62,0.8,58.41,14.44,15.31,8.13
reduced_lighting,2,146,1,-,True,21.23,22.48,-1.39,60.25,17.44,15.77,8.01
reduced_lighting,3,138,0,-,True,22.33,19.98,-0.58,61.02,10.83,15.43,8.08
reduced_lighting,4,161,0,-,True,23.61,21.99,0.73,58.87,13.94,16.13,7.69
reduced_lighting,5,251,1,-,True,21.37,19.44,5.63,51.82,19.41,15.8,7.75
reduced_lighting,6,214,0,-,True,21.68,21.4,4.39,55.68,16.86,16.16,7.31
reduced_lighting,7,174,0,-,True,22.16,22.9,-3.55,61.59,14.84,15.69,8.27
reduced_lighting,8,169,0,-,True,22.25,20.23,2.16,57.49,21.43,15.9,7.86
reduced_lighting,9,153,1,-,True,21.44,18.06,7.82,52.06,13.73,15.72,7.39
reduced_lighting,10,160,0,-,True,21.73,26.0,-7.05,63.31,13.91,15.84,8.4
