cell,episode,frame,success,instance,released,pan,lift,elbow,wrist_flex,wrist_roll,grasp_x,grasp_y
different_object,1,374,0,-,True,21.9,24.63,-8.66,62.61,14.72,15.38,9.07
different_object,2,521,1,-,True,21.97,26.55,-7.26,64.64,13.89,16.0,8.23
different_object,3,221,1,-,True,20.05,28.61,-14.63,68.77,14.48,15.38,9.2
different_object,4,644,0,-,True,21.53,24.52,-6.29,61.23,14.47,15.55,8.68
different_object,5,213,1,-,True,20.86,27.08,-8.17,65.35,16.44,15.92,8.31
different_object,6,174,1,-,True,22.42,27.32,-13.39,67.88,15.37,15.58,9.2
different_object,7,286,1,-,True,22.22,29.5,-11.82,62.95,13.0,15.93,8.96
different_object,8,307,1,-,True,21.26,25.75,-11.16,67.32,16.88,15.42,9.02
different_object,9,248,1,-,True,22.09,22.89,-3.03,59.72,13.41,15.65,8.33
different_object,10,437,1,-,True,21.32,28.79,-12.22,65.83,13.84,15.76,8.89
different_object,11,291,1,-,True,21.67,23.69,-6.01,62.29,14.08,15.48,8.64
different_object,12,280,1,-,True,22.57,22.81,-8.86,66.19,19.84,15.34,9.09
different_object,13,221,0,-,True,22.28,25.54,-6.79,62.0,12.81,15.78,8.53
different_object,14,283,0,-,True,22.57,21.98,-2.29,60.32,19.17,15.77,8.29
different_object,15,332,1,-,True,21.9,23.27,-5.05,65.81,21.16,15.84,8.2
distractors,1,226,1,-,True,18.86,22.11,-2.56,59.7,0.85,14.87,8.27
distractors,2,176,1,-,True,20.17,25.07,-9.06,64.53,5.68,15.07,8.83
distractors,3,233,1,-,True,17.28,29.29,-13.55,65.72,-0.02,14.86,9.04
distractors,4,192,1,-,True,21.13,25.77,-7.2,63.47,14.01,15.7,8.47
distractors,5,167,1,-,True,19.61,25.82,-8.4,62.88,11.38,15.28,8.78
distractors,6,186,0,-,True,16.55,31.55,-15.83,64.76,-2.82,14.81,9.28
distractors,7,177,1,-,True,19.77,25.29,-9.31,66.53,18.2,15.37,8.77
distractors,8,133,1,-,True,19.14,25.91,-12.39,64.59,3.53,14.63,9.44
distractors,9,194,0,-,True,16.09,24.89,-9.08,61.71,-2.56,14.22,9.11
distractors,10,183,1,-,True,18.88,27.68,-14.25,71.53,15.14,15.22,9.0
distractors,11,691,1,-,True,19.49,22.88,-2.76,59.45,6.8,15.19,8.26
distractors,12,260,1,-,True,19.85,27.32,-12.12,67.78,10.21,15.3,8.89
distractors,13,291,1,-,True,20.36,31.13,-14.23,68.83,13.14,15.93,8.68
distractors,14,131,1,-,True,20.24,27.24,-11.96,69.47,18.1,15.59,8.77
distractors,15,164,1,-,True,17.87,23.7,-6.3,61.6,-1.1,14.6,8.67
in_distribution,1,230,0,-,True,20.74,19.87,0.64,58.67,22.24,15.5,8.17
in_distribution,2,193,1,-,True,21.06,18.69,3.01,56.81,16.48,15.42,7.95
in_distribution,3,162,1,-,True,21.52,20.63,0.92,56.22,15.48,15.54,8.16
in_distribution,4,341,0,-,True,22.66,25.36,-5.37,61.32,10.94,15.91,8.28
in_distribution,5,137,0,-,True,23.12,19.06,-0.16,57.68,16.51,15.39,8.51
