condition,seed,n,never_departed,latency_median_s,latency_p90_s,deg_step_all,deg_step_success,duration_success_s,n_success
clean,1000,91.0,4.0,6.63,18.768,0.773,0.776,19.65,55.0
clean,2000,91.0,7.0,6.885,26.478,0.767,0.778,21.525,49.0
color,1000,75.0,0.0,1.03,2.726,0.809,0.887,13.404,53.0
color,2000,75.0,0.0,1.57,3.018,0.821,0.887,13.48,56.0
color-slowpace,1000,30.0,2.0,5.165,24.951,0.835,0.829,22.375,24.0
density,1000,45.0,0.0,0.63,1.22,0.923,0.943,13.361,30.0
randomized,1000,75.0,11.0,5.565,13.77,0.843,0.899,21.561,12.0
randomized,2000,75.0,18.0,8.13,28.252,0.876,0.903,23.141,13.0
recovery,1000,75.0,3.0,3.215,10.01,0.862,0.915,17.737,39.0
recovery,2000,75.0,5.0,2.15,11.557,0.808,0.867,21.114,31.0
