policy,condition,seed,cell,episode,n_frames,duration_s,max_dev_deg,departed,latency_s,deg_per_step,peak_deg_step,exec_s,success,failure_mode,regrasp,instance
clean,clean,1000,different_object,1,604,20.100000381469727,114.84,True,7.3,0.7313,5.29,12.8,1,success,,-
clean,clean,1000,different_object,2,1112,37.03333282470703,110.67,True,23.73,0.7514,8.145,13.3,1,success,,-
clean,clean,1000,different_object,3,701,23.33333396911621,117.83,True,10.93,0.7474,5.864,12.4,1,success,,-
clean,clean,1000,different_object,4,648,21.566667556762695,113.62,True,7.27,0.7578,7.236,14.3,1,success,,-
clean,clean,1000,different_object,5,667,22.200000762939453,119.47,True,10.43,0.7661,6.729,11.77,1,success,,-
clean,clean,1000,different_object,6,563,18.733333587646484,115.29,True,5.13,0.7508,5.661,13.6,1,success,,-
clean,clean,1000,different_object,7,759,25.266666412353516,116.86,True,11.63,0.805,13.352,13.63,1,success,,-
clean,clean,1000,different_object,8,601,20.0,115.69,True,6.2,0.7606,6.145,13.8,1,success,,-
clean,clean,1000,different_object,9,435,14.466666221618652,116.97,True,2.3,0.7735,7.089,12.17,1,success,,-
clean,clean,1000,different_object,10,1151,38.33333206176758,116.88,True,24.73,0.7493,19.202,13.6,1,success,,-
clean,clean,1000,different_object,11,501,16.66666603088379,118.36,True,2.53,0.7198,6.322,14.13,1,success,,-
clean,clean,1000,different_object,12,684,22.766666412353516,118.34,True,9.07,0.7568,6.798,13.7,1,success,,-
clean,clean,1000,different_object,13,451,15.0,117.0,True,2.03,0.7645,6.867,12.97,1,success,,-
clean,clean,1000,different_object,14,471,15.666666984558105,117.37,True,2.1,0.7521,5.72,13.57,1,success,,-
clean,clean,1000,different_object,15,754,25.100000381469727,113.2,True,10.47,0.8016,7.113,14.63,1,success,,-
clean,clean,1000,distractors,1,451,15.0,118.38,True,1.97,0.7837,6.909,13.03,1,success,,-
clean,clean,1000,distractors,2,441,14.666666984558105,117.08,True,1.73,0.8182,6.777,12.93,1,success,,-
clean,clean,1000,distractors,3,603,20.066667556762695,119.61,True,8.47,0.7988,5.83,11.6,1,success,,-
clean,clean,1000,distractors,4,451,15.0,120.66,True,1.5,0.7514,8.695,13.5,1,success,,-
clean,clean,1000,distractors,5,478,15.899999618530273,115.42,True,3.03,0.7982,7.881,12.87,1,success,,-
clean,clean,1000,distractors,6,857,28.53333282470703,114.31,True,15.47,0.7633,6.491,13.07,1,success,,-
clean,clean,1000,distractors,7,651,21.66666603088379,114.73,True,7.73,0.8016,17.514,13.93,1,success,,-
clean,clean,1000,distractors,8,408,13.566666603088379,113.78,True,2.63,0.7983,11.0,10.93,0,cube_out_of_bounds,,-
clean,clean,1000,distractors,9,548,18.233333587646484,113.38,True,3.8,0.7382,9.411,14.43,1,success,,-
clean,clean,1000,distractors,10,1149,38.266666412353516,119.84,True,3.87,0.7678,8.827,34.4,0,contact_no_grasp,,-
clean,clean,1000,distractors,11,413,13.733333587646484,122.5,True,2.63,0.8322,9.986,11.1,1,success,,-
clean,clean,1000,distractors,12,490,16.299999237060547,112.43,True,3.33,0.8082,7.708,12.97,1,success,,-
clean,clean,1000,distractors,13,601,20.0,115.74,True,6.93,0.8108,7.19,13.07,1,success,,-
clean,clean,1000,distractors,14,455,15.133333206176758,113.66,True,1.9,0.7588,6.127,13.23,1,success,,-
clean,clean,1000,distractors,15,551,18.33333396911621,117.19,True,5.57,0.776,6.112,12.77,1,success,,-
clean,clean,1000,in_distribution,1,472,15.699999809265137,123.18,True,2.67,0.7558,6.732,13.03,1,success,,-
clean,clean,1000,in_distribution,2,451,15.0,116.06,True,0.87,0.7807,8.196,14.13,1,success,,-
clean,clean,1000,in_distribution,3,472,15.699999809265137,116.01,True,2.53,0.7999,9.412,13.17,1,success,,-
clean,clean,1000,in_distribution,4,419,13.933333396911621,125.03,True,1.73,0.7779,6.474,12.2,1,success,,-
clean,clean,1000,in_distribution,5,451,15.0,117.43,True,2.13,0.8222,8.097,12.87,1,success,,-
clean,clean,1000,in_distribution,6,801,26.66666603088379,118.22,True,5.07,0.7476,7.885,21.6,1,success,,-
clean,clean,1000,in_distribution,7,460,15.300000190734863,114.62,True,1.87,0.7315,8.091,13.43,1,success,,-
clean,clean,1000,in_distribution,8,451,15.0,116.84,True,2.4,0.7901,7.983,12.6,1,success,,-
