condition,seed,cell,n,never_departed,latency_median_s,latency_p90_s,deg_step_all,deg_step_success,duration_success_s,n_success
clean,1000,different_object,15.0,0.0,7.3,18.89,0.759,0.759,22.416,15.0
clean,1000,distractors,15.0,0.0,3.33,8.174,0.787,0.788,17.89,13.0
clean,1000,in_distribution,15.0,0.0,2.53,6.594,0.778,0.778,16.749,15.0
clean,1000,near_1in,8.0,1.0,11.43,29.71,0.768,,,0.0
clean,1000,near_2in,8.0,1.0,10.17,23.608,0.779,,,0.0
clean,1000,new_positions,15.0,2.0,9.77,19.756,0.76,,,0.0
clean,1000,reduced_lighting,15.0,0.0,6.9,18.786,0.776,0.783,21.725,12.0
clean,2000,different_object,15.0,2.0,15.7,28.55,0.78,0.777,29.139,12.0
clean,2000,distractors,15.0,0.0,2.43,5.008,0.788,0.79,17.59,10.0
clean,2000,in_distribution,15.0,0.0,4.07,7.886,0.78,0.78,17.524,15.0
clean,2000,near_1in,8.0,0.0,4.8,7.77,0.733,0.786,18.4,3.0
clean,2000,near_2in,8.0,0.0,12.135,34.671,0.783,,,0.0
clean,2000,new_positions,15.0,4.0,15.7,29.43,0.734,,,0.0
clean,2000,reduced_lighting,15.0,1.0,8.415,27.14,0.756,0.761,23.456,9.0
color,1000,different_object,15.0,0.0,1.57,2.514,0.895,0.895,12.976,15.0
color,1000,distractors,15.0,0.0,0.9,1.566,0.869,0.902,13.667,13.0
color,1000,in_distribution,15.0,0.0,0.83,1.812,0.851,0.875,13.892,13.0
color,1000,new_positions,15.0,0.0,2.37,9.612,0.597,,,0.0
color,1000,reduced_lighting,15.0,0.0,0.7,1.188,0.834,0.875,13.125,12.0
color,2000,different_object,15.0,0.0,1.47,2.034,0.881,0.881,12.878,15.0
color,2000,distractors,15.0,0.0,2.07,3.25,0.889,0.889,14.531,15.0
color,2000,in_distribution,15.0,0.0,1.2,2.11,0.851,0.888,13.511,12.0
color,2000,new_positions,15.0,0.0,2.27,4.048,0.61,,,0.0
color,2000,reduced_lighting,15.0,0.0,1.23,2.53,0.872,0.892,12.974,14.0
color-slowpace,1000,different_object,15.0,0.0,4.23,17.412,0.839,0.837,22.079,14.0
color-slowpace,1000,in_distribution,15.0,2.0,7.43,26.502,0.83,0.817,22.79,10.0
density,1000,in_distribution,15.0,0.0,0.47,0.67,0.938,0.938,13.5,15.0
density,1000,new_positions,15.0,0.0,0.97,2.188,0.881,,,0.0
density,1000,trained_t2,15.0,0.0,0.6,0.718,0.948,0.948,13.222,15.0
randomized,1000,different_object,15.0,4.0,5.8,12.47,0.827,,,0.0
randomized,1000,distractors,15.0,0.0,4.5,8.772,0.786,0.846,23.333,1.0
randomized,1000,in_distribution,15.0,1.0,6.235,11.421,0.889,0.915,22.028,6.0
randomized,1000,new_positions,15.0,6.0,13.83,26.35,0.872,,,0.0
randomized,1000,reduced_lighting,15.0,0.0,4.77,11.17,0.851,0.891,20.647,5.0
randomized,2000,different_object,15.0,8.0,30.93,35.958,1.069,0.938,24.283,2.0
randomized,2000,distractors,15.0,0.0,2.83,4.754,0.799,,,0.0
randomized,2000,in_distribution,15.0,0.0,8.77,16.12,0.888,0.919,20.983,6.0
randomized,2000,new_positions,15.0,8.0,17.73,20.702,0.842,,,0.0
randomized,2000,reduced_lighting,15.0,2.0,13.87,27.66,0.863,0.869,25.273,5.0
recovery,1000,different_object,15.0,0.0,5.2,12.298,0.881,0.92,21.324,11.0
recovery,1000,distractors,15.0,0.0,1.67,4.838,0.876,0.903,16.841,13.0
recovery,1000,in_distribution,15.0,0.0,1.37,5.33,0.866,0.917,14.896,8.0
recovery,1000,new_positions,15.0,3.0,3.985,11.883,0.8,,,0.0
recovery,1000,reduced_lighting,15.0,0.0,3.97,5.472,0.876,0.926,17.01,7.0
recovery,2000,different_object,15.0,0.0,6.17,15.742,0.814,0.884,28.333,5.0
recovery,2000,distractors,15.0,0.0,1.97,3.248,0.859,0.888,17.583,12.0
recovery,2000,in_distribution,15.0,0.0,1.5,2.532,0.794,0.855,19.193,9.0
recovery,2000,new_positions,15.0,5.0,4.215,24.557,0.781,,,0.0
recovery,2000,reduced_lighting,15.0,0.0,1.2,2.568,0.782,0.818,25.827,5.0
