policy,offset,t_start_s,t_end_s,episodes,complete,successes,failures,auc,null_median,null_p95,perm_p,n_perms
clean-seed2000,0,0.0,5.0,53,1,34,19,0.63,0.515,0.644,0.0995,200
clean-seed2000,1,1.67,6.67,53,1,34,19,0.508,0.507,0.645,0.5025,200
clean-seed2000,2,3.33,8.33,53,1,34,19,0.432,0.48,0.664,0.7015,200
clean-seed2000,3,5.0,10.0,53,1,34,19,0.596,0.495,0.686,0.1791,200
clean-seed2000,4,6.67,11.67,53,1,34,19,0.72,0.497,0.675,0.0149,200
clean-seed2000,5,8.33,13.33,53,1,34,19,0.892,0.498,0.68,0.005,200
clean-seed2000,6,10.0,15.0,53,1,34,19,0.946,0.493,0.66,0.005,200
clean-seed2000,7,11.67,16.67,51,0,33,18,0.961,0.513,0.648,0.005,200
clean-seed2000,8,13.33,18.33,47,0,29,18,0.966,0.492,0.682,0.005,200
clean-seed2000,9,15.0,20.0,40,0,22,18,0.914,0.542,0.72,0.005,200
clean-seed2000,10,16.67,21.67,38,0,20,18,0.919,0.597,0.775,0.005,200
clean-seed2000,11,18.33,23.33,35,0,17,18,0.931,0.626,0.801,0.005,200
clean-seed2000,12,20.0,25.0,32,0,14,18,0.937,0.728,0.846,0.005,200
clean-seed2000,13,21.67,26.67,31,0,13,18,0.927,0.714,0.838,0.005,200
clean-seed2000,14,23.33,28.33,28,0,10,18,0.889,0.667,0.856,0.0448,200
clean-seed2000,15,25.0,30.0,25,0,7,18,0.952,0.738,0.858,0.01,200
color,0,0.0,5.0,45,1,38,7,0.579,0.417,0.699,0.194,200
color,1,1.67,6.67,45,1,38,7,0.729,0.404,0.733,0.0597,200
color,2,3.33,8.33,45,1,38,7,0.902,0.436,0.685,0.005,200
color,3,5.0,10.0,45,1,38,7,0.944,0.429,0.677,0.005,200
color,4,6.67,11.67,45,1,38,7,0.97,0.457,0.684,0.005,200
color,5,8.33,13.33,42,0,35,7,0.98,0.441,0.682,0.005,200
color,6,10.0,15.0,27,0,20,7,0.979,0.429,0.744,0.005,200
