condition,eval_cell,seed,episode,success
clean,in_distribution,1000,1,1
clean,in_distribution,1000,2,1
clean,in_distribution,1000,3,1
clean,in_distribution,1000,4,1
clean,in_distribution,1000,5,1
clean,in_distribution,1000,6,1
clean,in_distribution,1000,7,1
clean,in_distribution,1000,8,1
clean,in_distribution,1000,9,1
clean,in_distribution,1000,10,1
clean,in_distribution,1000,11,1
clean,in_distribution,1000,12,1
clean,in_distribution,1000,13,1
clean,in_distribution,1000,14,1
clean,in_distribution,1000,15,1
clean,new_positions,1000,1,0
clean,new_positions,1000,2,0
clean,new_positions,1000,3,0
clean,new_positions,1000,4,0
clean,new_positions,1000,5,0
clean,new_positions,1000,6,0
clean,new_positions,1000,7,0
clean,new_positions,1000,8,0
clean,new_positions,1000,9,0
clean,new_positions,1000,10,0
clean,new_positions,1000,11,0
clean,new_positions,1000,12,0
clean,new_positions,1000,13,0
clean,new_positions,1000,14,0
clean,new_positions,1000,15,0
clean,reduced_lighting,1000,1,1
clean,reduced_lighting,1000,2,1
clean,reduced_lighting,1000,3,1
clean,reduced_lighting,1000,4,1
clean,reduced_lighting,1000,5,1
clean,reduced_lighting,1000,6,0
clean,reduced_lighting,1000,7,1
clean,reduced_lighting,1000,8,1
clean,reduced_lighting,1000,9,1
clean,reduced_lighting,1000,10,0
clean,reduced_lighting,1000,11,1
clean,reduced_lighting,1000,12,1
clean,reduced_lighting,1000,13,1
clean,reduced_lighting,1000,14,0
clean,reduced_lighting,1000,15,1
clean,different_object,1000,1,1
clean,different_object,1000,2,1
clean,different_object,1000,3,1
clean,different_object,1000,4,1
clean,different_object,1000,5,1
clean,different_object,1000,6,1
clean,different_object,1000,7,1
clean,different_object,1000,8,1
clean,different_object,1000,9,1
clean,different_object,1000,10,1
clean,different_object,1000,11,1
clean,different_object,1000,12,1
clean,different_object,1000,13,1
clean,different_object,1000,14,1
clean,different_object,1000,15,1
clean,distractors,1000,1,1
clean,distractors,1000,2,1
clean,distractors,1000,3,1
clean,distractors,1000,4,1
clean,distractors,1000,5,1
clean,distractors,1000,6,1
clean,distractors,1000,7,1
clean,distractors,1000,8,0
clean,distractors,1000,9,1
clean,distractors,1000,10,0
clean,distractors,1000,11,1
clean,distractors,1000,12,1
clean,distractors,1000,13,1
clean,distractors,1000,14,1
clean,distractors,1000,15,1
randomized,in_distribution,1000,1,1
randomized,in_distribution,1000,2,0
randomized,in_distribution,1000,3,0
randomized,in_distribution,1000,4,0
randomized,in_distribution,1000,5,1
randomized,in_distribution,1000,6,1
randomized,in_distribution,1000,7,0
randomized,in_distribution,1000,8,1
randomized,in_distribution,1000,9,1
randomized,in_distribution,1000,10,0
randomized,in_distribution,1000,11,0
randomized,in_distribution,1000,12,1
randomized,in_distribution,1000,13,0
randomized,in_distribution,1000,14,0
randomized,in_distribution,1000,15,0
randomized,new_positions,1000,1,0
randomized,new_positions,1000,2,0
randomized,new_positions,1000,3,0
randomized,new_positions,1000,4,0
randomized,new_positions,1000,5,0
randomized,new_positions,1000,6,0
randomized,new_positions,1000,7,0
