_step,train/losses_after_rm_padding,run
200,0.2630589033663273,clean-seed2000
400,0.1706427544355392,clean-seed2000
600,0.1529357360675931,clean-seed2000
800,0.1377357326075434,clean-seed2000
1000,0.1271382885798812,clean-seed2000
1200,0.1200602629780769,clean-seed2000
1400,0.1144379545003175,clean-seed2000
1600,0.1121803211048245,clean-seed2000
1800,0.1072010885551571,clean-seed2000
2000,0.103548231460154,clean-seed2000
2200,0.1017847498506307,clean-seed2000
2400,0.095740822032094,clean-seed2000
2600,0.0946848186291754,clean-seed2000
2800,0.0897494063712656,clean-seed2000
3000,0.0880042583309114,clean-seed2000
3200,0.0831721392087638,clean-seed2000
3400,0.084413286242634,clean-seed2000
3600,0.0782779676094651,clean-seed2000
3800,0.0777113877981901,clean-seed2000
4000,0.075427423082292,clean-seed2000
4200,0.0742492118291556,clean-seed2000
4400,0.0689017812348902,clean-seed2000
4600,0.0668856313452124,clean-seed2000
4800,0.0667922046780586,clean-seed2000
5000,0.064533156864345,clean-seed2000
5200,0.0619837333075702,clean-seed2000
5400,0.0613627796992659,clean-seed2000
5600,0.0593515895120799,clean-seed2000
5800,0.057957174507901,clean-seed2000
6000,0.0570996428467333,clean-seed2000
6200,0.0567402877099812,clean-seed2000
6400,0.0543416307400912,clean-seed2000
6600,0.0537123867031186,clean-seed2000
6800,0.0529809765610843,clean-seed2000
7000,0.0532728734333068,clean-seed2000
7200,0.0509030431881546,clean-seed2000
7400,0.0516809693351388,clean-seed2000
7600,0.0497949238307774,clean-seed2000
7800,0.0498343522287905,clean-seed2000
8000,0.0473796969372779,clean-seed2000
8200,0.0483918199688196,clean-seed2000
8400,0.0474296927638351,clean-seed2000
8600,0.0474194862507283,clean-seed2000
8800,0.0474393267650157,clean-seed2000
9000,0.0474942695535719,clean-seed2000
9200,0.0466984613239765,clean-seed2000
9400,0.0461596982832998,clean-seed2000
9600,0.0475660770852118,clean-seed2000
9800,0.0472647142689675,clean-seed2000
200,0.2601836349442601,clean
400,0.1640078970789909,clean
600,0.1521992554143071,clean
800,0.1374034241586923,clean
1000,0.1274255266040563,clean
1200,0.1187026282772421,clean
1400,0.1155581740289926,clean
1600,0.1098062423616647,clean
1800,0.1078344304487109,clean
2000,0.1016305359825491,clean
2200,0.099318848028779,clean
2400,0.0970230485871434,clean
2600,0.0942699498683214,clean
2800,0.0888426033221185,clean
3000,0.0878947697952389,clean
3200,0.0835823792219161,clean
3400,0.0827218141406774,clean
3600,0.0806337763182818,clean
3800,0.077890451606363,clean
4000,0.0749275466427207,clean
4200,0.0714975543878972,clean
4400,0.0719792569801211,clean
4600,0.0681330728903412,clean
4800,0.0663314994983375,clean
5000,0.0653205431066453,clean
5200,0.0634043315052986,clean
5400,0.0623689059540629,clean
5600,0.0589917419664561,clean
5800,0.0580364557169377,clean
